Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1794,4,8,13.190833,-59.642277,AAGA,4.2,118,2.071882007,0,0,FALSE,F,NA
1605,4,10,13.190855000000001,-59.642654,AAGA,6,28,1.447158031,0,0,FALSE,F,NA
1610,4,10,13.190855000000001,-59.642654,AAGA,5.7,38,1.579783597,0,0,FALSE,F,NA
1603,4,10,13.190855000000001,-59.642654,AAGA,6,75,1.875061263,0,0,FALSE,F,NA
1611,4,10,13.190855000000001,-59.642654,AAGA,5.9,86,1.934498451,0,0,FALSE,F,NA
1613,4,10,13.190855000000001,-59.642654,AAGA,5.3,86,1.934498451,0,0,FALSE,F,NA
1604,4,10,13.190855000000001,-59.642654,AAGA,6,94,1.973127854,0,0,FALSE,F,NA
1607,4,10,13.190855000000001,-59.642654,AAGA,6,126,2.100370545,0.2,0,FALSE,F,NA
1608,4,10,13.190855000000001,-59.642654,AAGA,6,143,2.155336037,0.2,0,FALSE,F,NA
1612,4,10,13.190855000000001,-59.642654,AAGA,5.9,143,2.155336037,0,0,FALSE,F,NA
1625,4,10,13.190855000000001,-59.642654,AAGA,6,188,2.274157849,0,0,FALSE,F,NA
1606,4,10,13.190855000000001,-59.642654,AAGA,6,314,2.496929648,0.1,0,FALSE,F,NA
1626,4,10,13.190855000000001,-59.642654,AAGA,6.2,791,2.898176483,0.3,0,FALSE,F,NA
2585,5,5,13.191031,-59.641995,AAGA,3.4,165,2.217483944,0,0,FALSE,F,NA
2501,5,7,13.191089,-59.642374,AAGA,4.2,330,2.51851394,0.05,0,FALSE,F,NA
916,6,7,13.191285,-59.641998,AAGA,3.4,64,1.806179974,0,0,FALSE,F,NA
917,6,7,13.191285,-59.641998,AAGA,3.4,113,2.053078443,0.15,0,FALSE,F,NA
915,6,7,13.191285,-59.641998,AAGA,3.4,143,2.155336037,0,0,FALSE,F,NA
955,6,7,13.191285,-59.641998,AAGA,3,157,2.195899652,0.05,0,FALSE,F,NA
947,6,7,13.191285,-59.641998,AAGA,3.4,188,2.274157849,0,0,FALSE,F,NA
171,7,5,13.191463,-59.641816,AAGA,4.4,628,2.797959644,0,0,FALSE,F,NA
177,7,5,13.191463,-59.641816,AAGA,5,2356,3.372175286,0.2,0,FALSE,F,NA
155,7,6,13.191535,-59.642004,AAGA,4.4,236,2.372912003,0,0,FALSE,F,NA
