Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
734,2,3,13.190461,-59.641315,AHUM,2.4,9,0.954242509,0,0,FALSE,F,NA
127,5,2,13.190947,-59.641435,AHUM,1,14,1.146128036,0,0,FALSE,F,NA
126,5,2,13.190947,-59.641435,AHUM,1,17,1.230448921,0.5,0,FALSE,BL,NA
125,5,2,13.190947,-59.641435,AHUM,1,20,1.301029996,1,0,FALSE,BL,NA
64,6,2,13.191044,-59.641096,AHUM,0.3,33,1.51851394,0.1,0,FALSE,F,NA
67,6,2,13.191044,-59.641096,AHUM,0.3,106,2.025305865,0.15,0,FALSE,P,NA
392,7,3,13.19133,-59.641462,AHUM,1.5,14,1.146128036,0,0,FALSE,F,NA
352,7,3,13.19133,-59.641462,AHUM,2.5,117,2.068185862,0.25,0,FALSE,F,NA
348,7,3,13.19133,-59.641462,AHUM,2.5,127,2.103803721,0.1,0,FALSE,F,NA
353,7,3,13.19133,-59.641462,AHUM,1.6,147,2.167317335,0.3,0,FALSE,F,NA
351,7,3,13.19133,-59.641462,AHUM,2.5,178,2.250420002,0.1,0,FALSE,F,NA
350,7,3,13.19133,-59.641462,AHUM,2.5,273,2.436162647,0.1,0,FALSE,F,NA
391,7,3,13.19133,-59.641462,AHUM,1.5,298,2.474216264,0,0,FALSE,F,NA
349,7,3,13.19133,-59.641462,AHUM,2.5,425,2.62838893,0.75,0,FALSE,F,NA
347,7,3,13.19133,-59.641462,AHUM,2.5,660,2.819543936,0.4,0,FALSE,F,NA
323,7,4,13.191395,-59.641638,AHUM,2.4,34,1.531478917,0,0,FALSE,F,NA
312,7,4,13.191395,-59.641638,AHUM,2.4,42,1.62324929,0,0,FALSE,F,NA
324,7,4,13.191395,-59.641638,AHUM,2.4,45,1.653212514,0.3,0,FALSE,F,NA
302,7,4,13.191395,-59.641638,AHUM,2.4,56,1.748188027,0,0,FALSE,P,NA
322,7,4,13.191395,-59.641638,AHUM,2.4,62,1.792391689,0,0,FALSE,F,NA
314,7,4,13.191395,-59.641638,AHUM,2.4,63,1.799340549,0,0,FALSE,F,NA
307,7,4,13.191395,-59.641638,AHUM,2.4,67,1.826074803,0.25,0,FALSE,F,NA
310,7,4,13.191395,-59.641638,AHUM,2.4,77,1.886490725,0.75,0,FALSE,F,NA
320,7,4,13.191395,-59.641638,AHUM,2.4,82,1.913813852,0,0,FALSE,F,NA
311,7,4,13.191395,-59.641638,AHUM,2.4,92,1.963787827,0,0,FALSE,F,NA
308,7,4,13.191395,-59.641638,AHUM,2.4,108,2.033423755,0.6,0,FALSE,F,NA
316,7,4,13.191395,-59.641638,AHUM,2.4,109,2.037426498,0,0,FALSE,F,NA
301,7,4,13.191395,-59.641638,AHUM,2.4,118,2.071882007,0,0,FALSE,P,NA
315,7,4,13.191395,-59.641638,AHUM,2.4,135,2.130333768,0.25,0,FALSE,F,NA
303,7,4,13.191395,-59.641638,AHUM,2.4,156,2.193124598,0,0,FALSE,F,NA
300,7,4,13.191395,-59.641638,AHUM,2.4,157,2.195899652,0.25,0,FALSE,P,NA
321,7,4,13.191395,-59.641638,AHUM,2.4,178,2.250420002,0.4,0,FALSE,F,NA
306,7,4,13.191395,-59.641638,AHUM,2.4,213,2.328379603,0.25,0,FALSE,F,NA
318,7,4,13.191395,-59.641638,AHUM,2.4,216,2.334453751,0.3,0,FALSE,F,NA
317,7,4,13.191395,-59.641638,AHUM,2.4,246,2.390935107,0.6,0,FALSE,F,NA
309,7,4,13.191395,-59.641638,AHUM,2.4,250,2.397940009,0.75,0,FALSE,F,NA
304,7,4,13.191395,-59.641638,AHUM,2.4,339,2.530199698,0.4,0,FALSE,F,NA
305,7,4,13.191395,-59.641638,AHUM,2.4,431,2.63447727,0.75,0,FALSE,F,NA
313,7,4,13.191395,-59.641638,AHUM,2.4,444,2.64738297,0.9,0,FALSE,F,NA
319,7,4,13.191395,-59.641638,AHUM,2.4,582,2.764922985,0.5,0,FALSE,F,NA
