Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1000,1,1,13.19043,-59.640672,CNAT,1.7,3,0.477121255,0,0,FALSE,F,NA
1004,1,1,13.19043,-59.640672,CNAT,1.7,3,0.477121255,0,0,FALSE,F,NA
997,1,1,13.19043,-59.640672,CNAT,1.7,16,1.204119983,0,0,FALSE,F,NA
1001,1,1,13.19043,-59.640672,CNAT,1.7,17,1.230448921,0,0,FALSE,F,NA
999,1,1,13.19043,-59.640672,CNAT,1.7,45,1.653212514,0,0,FALSE,F,PB
1053,1,1,13.19043,-59.640672,CNAT,1.8,1000,3,0.2,0.05,TRUE,F,On the mends
1073,1,1,13.19043,-59.640672,CNAT,1.8,1034,3.014520539,0,0,FALSE,F,Predation (urchins)
996,1,1,13.19043,-59.640672,CNAT,1.7,1048,3.020361283,0.05,0,FALSE,F,P
1052,1,1,13.19043,-59.640672,CNAT,1.8,1228,3.089198367,0,0,FALSE,P,Two FB nearby
1022,1,2,13.190379,-59.640849,CNAT,1.5,3,0.477121255,0,0,FALSE,F,NA
1016,1,2,13.190379,-59.640849,CNAT,1.5,17,1.230448921,0,0,FALSE,F,NA
1010,1,2,13.190379,-59.640849,CNAT,1.5,63,1.799340549,0,0,FALSE,F,NA
1018,1,2,13.190379,-59.640849,CNAT,1.5,100,2,0,0,FALSE,F,NA
1087,1,2,13.190379,-59.640849,CNAT,2.1,210,2.322219295,0.2,0.15,TRUE,F,NA
1008,1,2,13.190379,-59.640849,CNAT,1.5,269,2.42975228,0,0,FALSE,F,NA
1077,1,2,13.190379,-59.640849,CNAT,2.1,1441,3.158663981,0.6,0,FALSE,PB,NA
1036,1,3,13.190313,-59.641029,CNAT,2.6,101,2.004321374,0,0,FALSE,F,NA
1037,1,3,13.190313,-59.641029,CNAT,2.6,160,2.204119983,0,0,FALSE,F,NA
1041,1,3,13.190313,-59.641029,CNAT,2.6,238,2.376576957,0.02,0.02,TRUE,F,NA
1100,1,3,13.190313,-59.641029,CNAT,2.7,274,2.437750563,0.1,0.1,FALSE,T,NA
1039,1,3,13.190313,-59.641029,CNAT,2.6,434,2.63748973,0.05,0,FALSE,F,NA
1025,1,3,13.190313,-59.641029,CNAT,2.6,564,2.751279104,0.5,0,FALSE,F,NA
1043,1,3,13.190313,-59.641029,CNAT,2.6,682,2.833784375,0.5,0,FALSE,F,NA
1026,1,3,13.190313,-59.641029,CNAT,2.6,1678,3.224791956,0.5,0.02,TRUE,F,NA
1107,1,3,13.190313,-59.641029,CNAT,3,1960,3.292256071,0,0,FALSE,F,NA
2384,1,4,13.19025,-59.641211,CNAT,3.5,70,1.84509804,0,0,FALSE,F,NA
2244,1,4,13.19025,-59.641211,CNAT,3.4,535,2.728353782,0.2,0,FALSE,PB ,NA
2386,1,4,13.19025,-59.641211,CNAT,3.5,816,2.911690159,0.2,0,FALSE,F,NA
