Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1076,1,2,13.190379,-59.640849,DLAB,2.1,1016,3.006893708,0.6,0,FALSE,PB,NA
761,2,1,13.190524,-59.640942,DLAB,1.5,238,2.376576957,0.4,0.3,TRUE,F,Predation (parrotfish)
721,2,3,13.190461,-59.641315,DLAB,3.1,235,2.371067862,0,0,FALSE,F,NA
1235,2,7,13.190327,-59.642082,DLAB,4.3,823,2.915399835,0.8,0.1,TRUE,F,NA
1201,2,7,13.190327,-59.642082,DLAB,4,1971,3.294686624,0.75,0,FALSE,F,NA
1476,3,6,13.190579,-59.642184,DLAB,3,861,2.935003151,0.4,0,FALSE,F,NA
1428,3,7,13.190565,-59.642374,DLAB,3.7,83,1.919078092,0,0,FALSE,F,Predation (parrotfish)
1421,3,7,13.190565,-59.642374,DLAB,3.7,152,2.181843588,0.4,0.4,TRUE,F,NA
86,4,1,13.190748,-59.640956,DLAB,0.3,104,2.017033339,0,0,FALSE,F,NA
93,4,2,13.19076,-59.641152,DLAB,0.3,336,2.526339277,0.6,0.4,TRUE,F,NA
530,4,4,13.190785,-59.641529,DLAB,1.2,31,1.491361694,0,0,FALSE,P,NA
1844,4,6,13.190805,-59.641899,DLAB,3.1,872,2.940516485,0,0,FALSE,F,NA
1801,4,8,13.190833,-59.642277,DLAB,3.1,21,1.322219295,0,0,FALSE,F,NA
1796,4,8,13.190833,-59.642277,DLAB,2.9,348,2.541579244,0,0,FALSE,PB,Pic.1 
1679,4,10,13.190855000000001,-59.642654,DLAB,4.6,722,2.858537198,0,0,FALSE,F,Gobies
1641,4,10,13.190855000000001,-59.642654,DLAB,4.3,1655,3.218797998,0.7,0,FALSE,F,NA
129,5,2,13.190947,-59.641435,DLAB,1,35,1.544068044,0,0,FALSE,P ,NA
102,6,2,13.191044,-59.641096,DLAB,1.2,385,2.58546073,0.08,0,FALSE,FF,NA
865,6,7,13.191285,-59.641998,DLAB,3.4,141,2.149219113,0.2,0,FALSE,PB,NA
221,7,5,13.191463,-59.641816,DLAB,3.6,63,1.799340549,0,0,FALSE,F,NA
236,7,5,13.191463,-59.641816,DLAB,2.7,135,2.130333768,0,0,FALSE,F,NA
223,7,5,13.191463,-59.641816,DLAB,3,342,2.534026106,0.3,0,FALSE,F,NA
203,7,6,13.191535,-59.642004,DLAB,4.3,198,2.29666519,0,0,FALSE,F,NA
