Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1405,3,7,13.190565,-59.642374,MCAV,4.9,661,2.820201459,0.5,0.3,TRUE,F,NA
2001,4,7,13.190821,-59.642086,MCAV,2.7,237,2.374748346,0.15,0,FALSE,F,NA
1790,4,8,13.190833,-59.642277,MCAV,4.2,506,2.704150517,0,0,FALSE,F,NA
1787,4,8,13.190833,-59.642277,MCAV,4.2,515,2.711807229,0.8,0.2,TRUE,F,NA
1728,4,9,13.190841,-59.642468,MCAV,6,70,1.84509804,0.65,0.05,FALSE,PB,NA
1673,4,10,13.190855000000001,-59.642654,MCAV,6.1,207,2.315970345,0.7,0.4,TRUE,F,NA
1682,4,10,13.190855000000001,-59.642654,MCAV,4.5,484,2.684845362,0,0,FALSE,P,Gobies
2532,5,6,13.191059,-59.642183,MCAV,5.4,489,2.689308859,0,0,FALSE,F,NA
2439,5,6,13.191059,-59.642183,MCAV,5.5,4343,3.637789829,0.4,0.2,TRUE,F,NA
2492,5,7,13.191089,-59.642374,MCAV,3.5,562,2.749736316,0.9,0.2,TRUE,F,NA
2499,5,7,13.191089,-59.642374,MCAV,4.2,667,2.824125834,0.4,0,FALSE,F,NA
505,6,5,13.191198,-59.641657,MCAV,2.1,31,1.491361694,0.1,0.1,TRUE,F,NA
880,6,7,13.191285,-59.641998,MCAV,3,353,2.547774705,0,0,FALSE,F,NA
