Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1007,1,1,13.19043,-59.640672,MMEA,1.7,70,1.84509804,0,0,FALSE,F,NA
1059,1,1,13.19043,-59.640672,MMEA,1.8,218,2.338456494,0.05,0.05,TRUE,F,NA
1015,1,2,13.190379,-59.640849,MMEA,1.5,184,2.264817823,0,0,FALSE,B,NA
1095,1,3,13.190313,-59.641029,MMEA,2.4,200,2.301029996,0.1,0.1,TRUE,F,NA
1105,1,3,13.190313,-59.641029,MMEA,3,218,2.338456494,0,0,FALSE,F,NA
1091,1,3,13.190313,-59.641029,MMEA,2.4,265,2.423245874,0.1,0.1,TRUE,F,NA
1108,1,3,13.190313,-59.641029,MMEA,3,1027,3.011570444,0,0,FALSE,P,NA
1048,1,3,13.190313,-59.641029,MMEA,2.6,1032,3.013679697,0.05,0,FALSE,F,Pic.1 Confirm ID
2242,1,4,13.19025,-59.641211,MMEA,3.5,821,2.914343157,0.45,0.15,TRUE,F,NA
664,2,1,13.190524,-59.640942,MMEA,1.1,7,0.84509804,0,0,FALSE,F,NA
773,2,1,13.190524,-59.640942,MMEA,1.8,13,1.113943352,0,0,FALSE,F,NA
676,2,1,13.190524,-59.640942,MMEA,1,31,1.491361694,0,0,FALSE,F,NA
661,2,1,13.190524,-59.640942,MMEA,1.1,34,1.531478917,0,0,FALSE,F,NA
766,2,1,13.190524,-59.640942,MMEA,1.2,91,1.959041392,0.1,0,FALSE,PB,NA
776,2,1,13.190524,-59.640942,MMEA,1.8,92,1.963787827,0,0,FALSE,F,NA
680,2,1,13.190524,-59.640942,MMEA,1,107,2.029383778,0,0,FALSE,F,NA
662,2,1,13.190524,-59.640942,MMEA,1.1,127,2.103803721,0,0,FALSE,F,NA
708,2,2,13.19049,-59.641131,MMEA,1.5,3,0.477121255,0,0,FALSE,F,NA
709,2,2,13.19049,-59.641131,MMEA,1.5,3,0.477121255,0,0,FALSE,F,NA
711,2,2,13.19049,-59.641131,MMEA,1.5,3,0.477121255,0,0,FALSE,F,NA
712,2,2,13.19049,-59.641131,MMEA,1.5,3,0.477121255,0,0,FALSE,F,NA
805,2,2,13.19049,-59.641131,MMEA,2.4,100,2,0,0,FALSE,PB,NA
798,2,2,13.19049,-59.641131,MMEA,2.1,109,2.037426498,0,0,FALSE,F,NA
710,2,2,13.19049,-59.641131,MMEA,1.5,135,2.130333768,0.4,0,FALSE,F,NA
793,2,2,13.19049,-59.641131,MMEA,1.8,236,2.372912003,0,0,FALSE,PB,NA
794,2,2,13.19049,-59.641131,MMEA,1.8,258,2.411619706,0.4,0.1,TRUE,F,NA
699,2,2,13.19049,-59.641131,MMEA,1.5,262,2.418301291,0.8,0.3,TRUE,F,NA
716,2,2,13.19049,-59.641131,MMEA,1.5,293,2.46686762,0.4,0,FALSE,F,NA
720,2,3,13.190461,-59.641315,MMEA,2.4,3,0.477121255,0,0,FALSE,F,NA
728,2,3,13.190461,-59.641315,MMEA,3,3,0.477121255,0,0,FALSE,F,NA
730,2,3,13.190461,-59.641315,MMEA,3,9,0.954242509,0,0,FALSE,F,NA
833,2,3,13.190461,-59.641315,MMEA,3.4,16,1.204119983,0,0,FALSE,F,NA
832,2,3,13.190461,-59.641315,MMEA,3.4,29,1.462397998,0,0,FALSE,F,NA
837,2,3,13.190461,-59.641315,MMEA,3.4,44,1.643452676,0,0,FALSE,F,NA
