Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
726,2,3,13.190461,-59.641315,OANN,3.1,435,2.638489257,0.9,0.2,TRUE,F,NA
724,2,3,13.190461,-59.641315,OANN,2.4,835,2.921686475,0.3,0.02,TRUE,F,NA
725,2,3,13.190461,-59.641315,OANN,3.1,1251,3.09725731,0.3,0.1,TRUE,F,NA
1474,3,6,13.190579,-59.642184,OANN,4.1,1027,3.011570444,0.4,0,FALSE,F,NA
1419,3,7,13.190565,-59.642374,OANN,3.7,211,2.324282455,0,0,FALSE,PB,NA
1420,3,7,13.190565,-59.642374,OANN,3.7,1257,3.099335278,0,0,FALSE,F,Predation (parrotfish)
1402,3,8,13.190556,-59.642567,OANN,6.7,306,2.485721426,0.2,0.1,TRUE,F,NA
1398,3,8,13.190556,-59.642567,OANN,6.7,325,2.511883361,0.1,0,FALSE,PB,NA
1397,3,8,13.190556,-59.642567,OANN,7,625,2.795880017,0.3,0.2,TRUE,F,NA
1399,3,8,13.190556,-59.642567,OANN,6.7,1421,3.152594078,0.1,0.1,TRUE,F,NA
90,4,2,13.19076,-59.641152,OANN,0.3,54,1.73239376,0.4,0,FALSE,P,NA
1947,4,7,13.190821,-59.642086,OANN,2.5,1329,3.123524981,0.25,0.05,TRUE,F,NA
1895,4,8,13.190833,-59.642277,OANN,3,1419,3.151982395,0,0,FALSE,F,NA
1713,4,9,13.190841,-59.642468,OANN,5.5,1494,3.174350597,0,0,FALSE,F,NA
1680,4,10,13.190855000000001,-59.642654,OANN,4.5,188,2.274157849,0,0,FALSE,F,NA
1674,4,10,13.190855000000001,-59.642654,OANN,5.5,289,2.460897843,0,0,FALSE,F,Gobies
1683,4,10,13.190855000000001,-59.642654,OANN,4.2,319,2.503790683,0,0,FALSE,F,NA
1684,4,10,13.190855000000001,-59.642654,OANN,3.8,875,2.942008053,0,0,FALSE,F,NA
2554,5,5,13.191031,-59.641995,OANN,4.3,380,2.579783597,0.2,0,FALSE,F,NA
2500,5,7,13.191089,-59.642374,OANN,4.2,248,2.394451681,0.1,0,FALSE,P,NA
2497,5,7,13.191089,-59.642374,OANN,4.7,524,2.719331287,0.2,0,FALSE,F,NA
2431,5,7,13.191089,-59.642374,OANN,6.5,551,2.741151599,0,0,FALSE,F,Predation (urchin)
2420,5,7,13.191089,-59.642374,OANN,5.7,867,2.938019097,0.2,0.1,TRUE,F,NA
2496,5,7,13.191089,-59.642374,OANN,3.5,1233,3.090963077,0.8,0.05,TRUE,F,NA
63,6,1,13.190998,-59.640924,OANN,0.3,153,2.184691431,0.05,0,FALSE,P ,NA
970,6,6,13.191235,-59.641822,OANN,2.8,148,2.170261715,0.8,0.05,TRUE,F,NA
971,6,6,13.191235,-59.641822,OANN,3,231,2.36361198,0.6,NA,FALSE,F,NA
972,6,6,13.191235,-59.641822,OANN,3.4,395,2.596597096,0.75,NA,FALSE,F,NA
980,6,6,13.191235,-59.641822,OANN,2.5,698,2.843855423,0,NA,FALSE,F,NA
973,6,6,13.191235,-59.641822,OANN,2,1381,3.140193679,0.8,NA,FALSE,F,NA
963,6,6,13.191235,-59.641822,OANN,3.6,1418,3.151676231,0.5,NA,FALSE,F,NA
959,6,6,13.191235,-59.641822,OANN,3.6,1545,3.188928484,0.2,NA,FALSE,P,NA
981,6,6,13.191235,-59.641822,OANN,3,1598,3.203576775,0.1,0.02,TRUE,F,NA
982,6,6,13.191235,-59.641822,OANN,3,1811,3.25791845,0.2,0.02,TRUE,F,NA
957,6,6,13.191235,-59.641822,OANN,2.9,4399,3.643353962,0.21,NA,FALSE,FF,NA
985,6,6,13.191235,-59.641822,OANN,3,5844,3.766710207,0.3,0.05,TRUE,F,NA
984,6,6,13.191235,-59.641822,OANN,3,7434,3.871222557,0.15,0.02,TRUE,F,NA
900,6,6,13.191235,-59.641822,OANN,2.4,7985,3.90227492,0.5,0.1,TRUE,F,NA
974,6,6,13.191235,-59.641822,OANN,2,8391,3.923813721,0.8,NA,FALSE,F,NA
887,6,6,13.191235,-59.641822,OANN,2.7,13165,4.119420863,0.49,0.06,TRUE,FFF,OANN3-SH1OANN2-SH1OANN1-SH1
882,6,7,13.191285,-59.641998,OANN,3.7,366,2.563481085,0,0,FALSE,P,NA
874,6,7,13.191285,-59.641998,OANN,2.7,1173,3.069298012,0.3,0,FALSE,O,NA
948,6,7,13.191285,-59.641998,OANN,4.3,1697,3.229681842,0.1,0,FALSE,F,NA
863,6,7,13.191285,-59.641998,OANN,3.7,1758,3.245018871,0.5,0.3,TRUE,F,NA
869,6,7,13.191285,-59.641998,OANN,2.1,2129,3.328175661,0,0,FALSE,P,NA
29,7,1,13.191204,-59.641124,OANN,0.6,20,1.301029996,0,0,FALSE,F,NA
28,7,1,13.191204,-59.641124,OANN,0.6,163,2.212187604,0,0,FALSE,F,NA
36,7,2,13.191268,-59.641298,OANN,0.6,135,2.130333768,0,0,FALSE,F,NA
57,7,2,13.191268,-59.641298,OANN,0.6,360,2.556302501,0.15,0.1,TRUE,F,NA
399,7,3,13.19133,-59.641462,OANN,2.1,146,2.164352856,0.5,0.1,TRUE,F,NA
440,7,3,13.19133,-59.641462,OANN,2,729,2.862727528,0.2,0.02,TRUE,F,NA
436,7,3,13.19133,-59.641462,OANN,2,1102,3.042181595,0.8,0.02,TRUE,F,NA
442,7,3,13.19133,-59.641462,OANN,2.2,1336,3.125806458,0.7,0.15,TRUE,F,NA
404,7,3,13.19133,-59.641462,OANN,2.4,1604,3.205204364,0.8,0.1,TRUE,F,NA
408,7,3,13.19133,-59.641462,OANN,1.2,1953,3.290702243,0.3,0,FALSE,O,Black spot dis. + gobies
444,7,3,13.19133,-59.641462,OANN,2,2086,3.319314304,0.15,0.05,TRUE,F,NA
434,7,3,13.19133,-59.641462,OANN,2,6966,3.84298347,0.5,0.1,TRUE,F,NA
362,7,4,13.191395,-59.641638,OANN,3.4,208,2.318063335,0,0,FALSE,F,NA
365,7,4,13.191395,-59.641638,OANN,3.7,237,2.374748346,0.15,0.5,TRUE,F,NA
364,7,4,13.191395,-59.641638,OANN,3.7,278,2.444044796,0,0,FALSE,P,NA
363,7,4,13.191395,-59.641638,OANN,3.7,326,2.5132176,0,0,FALSE,P,NA
368,7,4,13.191395,-59.641638,OANN,2.1,497,2.696356389,0,0,FALSE,P,NA
361,7,4,13.191395,-59.641638,OANN,3.4,502,2.700703717,0.2,0.1,TRUE,F,NA
367,7,4,13.191395,-59.641638,OANN,2.1,586,2.767897616,0,0,FALSE,P,NA
366,7,4,13.191395,-59.641638,OANN,2.1,802,2.904174368,0,0,FALSE,P,NA
358,7,4,13.191395,-59.641638,OANN,3.4,1754,3.244029589,0.5,0.2,TRUE,F,NA
241,7,4,13.191395,-59.641638,OANN,3.2,2690,3.42975228,0.8,0,FALSE,F,NA
251,7,4,13.191395,-59.641638,OANN,2.4,2909,3.463743721,0.2,0.05,TRUE,F,NA
327,7,4,13.191395,-59.641638,OANN,3,2936,3.467756051,0.8,0,FALSE,F,NA
273,7,4,13.191395,-59.641638,OANN,3,3155,3.498999364,0.2,0.1,TRUE,F,NA
271,7,4,13.191395,-59.641638,OANN,2.4,5158,3.712481338,0.05,0.05,TRUE,F,Predation
248,7,4,13.191395,-59.641638,OANN,3.2,5548,3.744136452,0.95,0,FALSE,F,NA
325,7,4,13.191395,-59.641638,OANN,2.4,5694,3.755417463,0.9,0.02,TRUE,F,NA
270,7,4,13.191395,-59.641638,OANN,2.4,7109,3.851808514,0.3,0.1,TRUE,F,Predation
253,7,4,13.191395,-59.641638,OANN,3,8380,3.923244019,0.8,0.02,TRUE,F,NA
372,7,4,13.191395,-59.641638,OANN,2.7,8624,3.935708748,0.5,0.2,TRUE,F,NA
250,7,4,13.191395,-59.641638,OANN,2.4,9237,3.965530944,0.6,0.05,TRUE,F,NA
240,7,4,13.191395,-59.641638,OANN,3,11467,4.059449813,0.5,0.05,TRUE,F,NA
246,7,4,13.191395,-59.641638,OANN,2.7,12868,4.109511052,0.29,0,FALSE,NA,NA
