Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1526,3,8,13.190556,-59.642567,OFAV,6.4,930,2.968482949,0.8,0,FALSE,F,NA
978,6,6,13.191235,-59.641822,OFAV,3,629,2.798650645,0.05,0.02,TRUE,F,NA
960,6,6,13.191235,-59.641822,OFAV,3.2,2677,3.427648371,0.76,NA,FALSE,FF,NA
964,6,6,13.191235,-59.641822,OFAV,3,3691,3.567144045,0.8,NA,FALSE,F,NA
962,6,6,13.191235,-59.641822,OFAV,2.6,5325,3.726319612,0.73,NA,FALSE,FFF,NA
954,6,7,13.191285,-59.641998,OFAV,3,213,2.328379603,0,0,FALSE,F,NA
945,6,7,13.191285,-59.641998,OFAV,2.2,710,2.851258349,0.08,0,FALSE,FF,NA
944,6,7,13.191285,-59.641998,OFAV,2.1,1872,3.272305844,0.9,0,FALSE,F,NA
932,6,7,13.191285,-59.641998,OFAV,3.1,2300,3.361727836,0.2,0.05,TRUE,F,NA
943,6,7,13.191285,-59.641998,OFAV,2.1,9298,3.968389542,0.9,0.02,TRUE,F,NA
178,7,5,13.191463,-59.641816,OFAV,3.6,10892,4.037107633,0.4,0.1,TRUE,F,NA
179,7,5,13.191463,-59.641816,OFAV,3.6,55325,4.742921423,0.4,0.1,TRUE,F,NA
160,7,6,13.191535,-59.642004,OFAV,2.7,47,1.672097858,0,0,FALSE,F,NA
158,7,6,13.191535,-59.642004,OFAV,2.2,846,2.927370363,0,0,FALSE,F,NA
162,7,6,13.191535,-59.642004,OFAV,3,3393,3.53058386,0.1,0,FALSE,NA,NA
159,7,6,13.191535,-59.642004,OFAV,2.2,3510,3.545307116,0.3,0,FALSE,F,NA
161,7,6,13.191535,-59.642004,OFAV,2.7,7096,3.851013607,0.15,0,FALSE,F,NA
163,7,6,13.191535,-59.642004,OFAV,3,36690,4.564547712,0.09,0,FALSE,NA,NA
