Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
2410,2,4,13.190425,-59.641508,OFRA,2.3,416,2.619093331,0.1,0,FALSE,OD,NA
1209,2,7,13.190327,-59.642082,OFRA,4,757,2.87909588,0.6,0,FALSE,PB,NA
2000,4,7,13.190821,-59.642086,OFRA,2.7,1593,3.202215776,0.75,0.1,TRUE,F,NA
1558,4,9,13.190841,-59.642468,OFRA,4.1,728,2.862131379,0.05,0.02,TRUE,F,NA
1635,4,10,13.190855000000001,-59.642654,OFRA,5.7,11667,4.066959198,0.58,0.01,TRUE,NA,NA
2330,5,4,13.191003,-59.641814,OFRA,2.1,667,2.824125834,0.1,0,FALSE,F,NA
2576,5,5,13.191031,-59.641995,OFRA,3.3,2638,3.421274791,0.7,0,FALSE,F,NA
2450,5,6,13.191059,-59.642183,OFRA,4.5,45782,4.660694761,0.9,0.2,TRUE,F,NA
2430,5,7,13.191089,-59.642374,OFRA,6.2,3652,3.562530769,0.6,0.1,TRUE,F,NA
975,6,6,13.191235,-59.641822,OFRA,2,188,2.274157849,0,NA,FALSE,F,NA
967,6,6,13.191235,-59.641822,OFRA,3.6,1283,3.108226656,0.25,NA,FALSE,F,NA
952,6,7,13.191285,-59.641998,OFRA,3.2,125,2.096910013,0,0,FALSE,P,NA
919,6,7,13.191285,-59.641998,OFRA,2.4,9042,3.956264503,0.68,0.05,TRUE,FF,NA
870,6,7,13.191285,-59.641998,OFRA,3.4,14855,4.171872656,0.4,0.1,TRUE,F,NA
872,6,7,13.191285,-59.641998,OFRA,2.7,18658,4.270865089,0.4,0.2,TRUE,F,NA
431,7,3,13.19133,-59.641462,OFRA,1.6,1815,3.258876629,0.4,0.15,TRUE,F,NA
407,7,3,13.19133,-59.641462,OFRA,1.2,5377,3.730540036,0.7,0.3,TRUE,F,NA
326,7,4,13.191395,-59.641638,OFRA,3,251,2.399673721,0.4,0,FALSE,F,NA
244,7,4,13.191395,-59.641638,OFRA,3.2,712,2.852479994,0.4,0,FALSE,F,NA
247,7,4,13.191395,-59.641638,OFRA,2.7,35388,4.548856019,0.25,0.01,TRUE,F,NA
245,7,4,13.191395,-59.641638,OFRA,2.7,36886,4.566861562,0.3,0.02,TRUE,F,NA
274,7,4,13.191395,-59.641638,OFRA,2.1,74395,4.871543748,0.3,0.1,TRUE,F,Predation
176,7,5,13.191463,-59.641816,OFRA,5,31,1.491361694,0,0,FALSE,F,NA
166,7,5,13.191463,-59.641816,OFRA,4.4,232,2.365487985,0,0,FALSE,F,NA
173,7,5,13.191463,-59.641816,OFRA,3.4,320,2.505149978,0,0,FALSE,PB,NA
232,7,5,13.191463,-59.641816,OFRA,3.2,335,2.525044807,0.2,0.1,TRUE,F,NA
231,7,5,13.191463,-59.641816,OFRA,3.2,691,2.839478047,0.3,0.1,TRUE,F,NA
222,7,5,13.191463,-59.641816,OFRA,2.7,42139,4.624684225,0.5,0.2,TRUE,F,NA
157,7,6,13.191535,-59.642004,OFRA,3,853,2.930949031,0.05,0,FALSE,P,NA
204,7,6,13.191535,-59.642004,OFRA,4.3,40245,4.604711932,0.6,0.6,TRUE,F,monitor
