Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1115,1,3,13.190313,-59.641029,PAST,2.7,20,1.301029996,0,0,FALSE,F,NA
1126,1,3,13.190313,-59.641029,PAST,2.7,38,1.579783597,0.5,0.5,TRUE,F,NA
1116,1,3,13.190313,-59.641029,PAST,2.7,42,1.62324929,0,0,FALSE,F,NA
1124,1,3,13.190313,-59.641029,PAST,2.7,42,1.62324929,0,0,FALSE,F,NA
1112,1,3,13.190313,-59.641029,PAST,2.7,77,1.886490725,0,0,FALSE,F,NA
1114,1,3,13.190313,-59.641029,PAST,2.7,77,1.886490725,0,0,FALSE,F,NA
1113,1,3,13.190313,-59.641029,PAST,2.7,109,2.037426498,0,0,FALSE,F,NA
1111,1,3,13.190313,-59.641029,PAST,2.7,134,2.127104798,0.95,0.9,TRUE,F,NA
1117,1,3,13.190313,-59.641029,PAST,2.7,200,2.301029996,0,0,FALSE,F,NA
1119,1,3,13.190313,-59.641029,PAST,2.7,210,2.322219295,0,0,FALSE,F,NA
1118,1,3,13.190313,-59.641029,PAST,2.7,213,2.328379603,0,0,FALSE,F,NA
1121,1,3,13.190313,-59.641029,PAST,2.7,238,2.376576957,0,0,FALSE,F,NA
1125,1,3,13.190313,-59.641029,PAST,2.7,292,2.465382851,0,0,FALSE,F,NA
1122,1,3,13.190313,-59.641029,PAST,2.7,333,2.522444234,0,0,FALSE,F,NA
1127,1,3,13.190313,-59.641029,PAST,2.7,412,2.614897216,0,0,FALSE,F,NA
1120,1,3,13.190313,-59.641029,PAST,2.7,638,2.804820679,0.3,0,FALSE,PB,NA
1123,1,3,13.190313,-59.641029,PAST,2.7,985,2.99343623,0,0,FALSE,F,NA
2262,1,4,13.19025,-59.641211,PAST,3.5,24,1.380211242,0,0,FALSE,F,NA
2263,1,4,13.19025,-59.641211,PAST,3.5,24,1.380211242,0,0,FALSE,F,NA
2253,1,4,13.19025,-59.641211,PAST,3.5,25,1.397940009,0,0,FALSE,F,NA
2264,1,4,13.19025,-59.641211,PAST,3.5,27,1.431363764,0,0,FALSE,F,NA
2251,1,4,13.19025,-59.641211,PAST,3.5,35,1.544068044,0,0,FALSE,F,NA
2265,1,4,13.19025,-59.641211,PAST,3.5,38,1.579783597,0,0,FALSE,F,NA
2261,1,4,13.19025,-59.641211,PAST,3.5,49,1.69019608,0,0,FALSE,F,NA
2258,1,4,13.19025,-59.641211,PAST,3.5,57,1.755874856,0,0,FALSE,F,NA
2270,1,4,13.19025,-59.641211,PAST,3.5,63,1.799340549,0,0,FALSE,F,NA
2259,1,4,13.19025,-59.641211,PAST,3.5,78,1.892094603,0,0,FALSE,F,NA
2276,1,4,13.19025,-59.641211,PAST,3.5,83,1.919078092,0.1,0,FALSE,PB ,NA
2273,1,4,13.19025,-59.641211,PAST,3.5,84,1.924279286,0,0,FALSE,F,NA
2260,1,4,13.19025,-59.641211,PAST,3.5,85,1.929418926,0,0,FALSE,F,NA
2269,1,4,13.19025,-59.641211,PAST,3.5,85,1.929418926,0,0,FALSE,F,NA
2252,1,4,13.19025,-59.641211,PAST,3.5,91,1.959041392,0,0,FALSE,F,NA
2267,1,4,13.19025,-59.641211,PAST,3.5,109,2.037426498,0,0,FALSE,F,NA
2254,1,4,13.19025,-59.641211,PAST,3.5,118,2.071882007,0,0,FALSE,F,NA
2272,1,4,13.19025,-59.641211,PAST,3.5,156,2.193124598,0,0,FALSE,F,NA
2256,1,4,13.19025,-59.641211,PAST,3.5,168,2.225309282,0,0,FALSE,F,NA
2271,1,4,13.19025,-59.641211,PAST,3.5,188,2.274157849,0,0,FALSE,F,NA
2257,1,4,13.19025,-59.641211,PAST,3.5,214,2.330413773,0,0,FALSE,F,NA
2266,1,4,13.19025,-59.641211,PAST,3.5,278,2.444044796,0,0,FALSE,F,NA
2274,1,4,13.19025,-59.641211,PAST,3.5,307,2.487138375,0,0,FALSE,F,NA
2268,1,4,13.19025,-59.641211,PAST,3.5,336,2.526339277,0,0,FALSE,F,NA
2275,1,4,13.19025,-59.641211,PAST,3.5,375,2.574031268,0,0,FALSE,F,NA
2255,1,4,13.19025,-59.641211,PAST,3.5,826,2.916980047,0,0,FALSE,F,NA
692,2,1,13.190524,-59.640942,PAST,1,7,0.84509804,0,0,FALSE,F,NA
687,2,1,13.190524,-59.640942,PAST,1,17,1.230448921,0,0,FALSE,F,NA
689,2,1,13.190524,-59.640942,PAST,1,20,1.301029996,0,0,FALSE,F,NA
790,2,1,13.190524,-59.640942,PAST,1.5,22,1.342422681,0,0,FALSE,F,NA
698,2,1,13.190524,-59.640942,PAST,1,24,1.380211242,0.2,0,FALSE,F,NA
789,2,1,13.190524,-59.640942,PAST,1.5,24,1.380211242,0,0,FALSE,F,NA
782,2,1,13.190524,-59.640942,PAST,1.8,29,1.462397998,0,0,FALSE,F,NA
784,2,1,13.190524,-59.640942,PAST,1.5,31,1.491361694,0,0,FALSE,F,NA
691,2,1,13.190524,-59.640942,PAST,1,33,1.51851394,0,0,FALSE,F,NA
783,2,1,13.190524,-59.640942,PAST,1.5,33,1.51851394,0,0,FALSE,F,NA
694,2,1,13.190524,-59.640942,PAST,1,42,1.62324929,0.1,0,FALSE,F,NA
780,2,1,13.190524,-59.640942,PAST,1.8,44,1.643452676,0,0,FALSE,F,NA
781,2,1,13.190524,-59.640942,PAST,1.8,47,1.672097858,0,0,FALSE,F,NA
686,2,1,13.190524,-59.640942,PAST,1,60,1.77815125,0.1,0,FALSE,F,NA
788,2,1,13.190524,-59.640942,PAST,1.5,60,1.77815125,0,0,FALSE,F,NA
688,2,1,13.190524,-59.640942,PAST,1,70,1.84509804,0.1,0,FALSE,F,NA
690,2,1,13.190524,-59.640942,PAST,1,71,1.851258349,0,0,FALSE,F,NA
791,2,1,13.190524,-59.640942,PAST,1.8,82,1.913813852,0,0,FALSE,F,NA
681,2,1,13.190524,-59.640942,PAST,1,84,1.924279286,0.1,0,FALSE,F,NA
682,2,1,13.190524,-59.640942,PAST,1,84,1.924279286,0.15,0,FALSE,P,NA
685,2,1,13.190524,-59.640942,PAST,1,85,1.929418926,0,0,FALSE,F,NA
695,2,1,13.190524,-59.640942,PAST,1,91,1.959041392,0,0,FALSE,P,NA
786,2,1,13.190524,-59.640942,PAST,1.8,92,1.963787827,0,0,FALSE,F,NA
696,2,1,13.190524,-59.640942,PAST,1,97,1.986771734,0,0,FALSE,PB,NA
785,2,1,13.190524,-59.640942,PAST,1.5,99,1.995635195,0,0,FALSE,F,NA
697,2,1,13.190524,-59.640942,PAST,1,139,2.1430148,0.75,0,FALSE,F,NA
684,2,1,13.190524,-59.640942,PAST,1,152,2.181843588,0,0,FALSE,F,NA
683,2,1,13.190524,-59.640942,PAST,1,200,2.301029996,0,0,FALSE,F,NA
693,2,1,13.190524,-59.640942,PAST,1,292,2.465382851,0.15,0,FALSE,F,NA
787,2,1,13.190524,-59.640942,PAST,1.5,341,2.532754379,0,0,FALSE,F,NA
808,2,2,13.19049,-59.641131,PAST,2.1,45,1.653212514,0,0,FALSE,F,NA
810,2,2,13.19049,-59.641131,PAST,2.1,56,1.748188027,0,0,FALSE,F,NA
809,2,2,13.19049,-59.641131,PAST,2.1,75,1.875061263,0,0,FALSE,F,NA
814,2,2,13.19049,-59.641131,PAST,2.1,75,1.875061263,0,0,FALSE,F,NA
813,2,2,13.19049,-59.641131,PAST,2.4,86,1.934498451,0,0,FALSE,F,NA
811,2,2,13.19049,-59.641131,PAST,2.1,104,2.017033339,0,0,FALSE,F,NA
812,2,2,13.19049,-59.641131,PAST,2.1,143,2.155336037,0.4,0,FALSE,PB,NA
815,2,2,13.19049,-59.641131,PAST,2.1,156,2.193124598,0.1,0.1,TRUE,F,NA
807,2,2,13.19049,-59.641131,PAST,2.1,202,2.305351369,0,0,FALSE,F,NA
749,2,3,13.190461,-59.641315,PAST,2.4,7,0.84509804,0,0,FALSE,F,NA
738,2,3,13.190461,-59.641315,PAST,2.4,9,0.954242509,0,0,FALSE,PB,NA
739,2,3,13.190461,-59.641315,PAST,2.4,9,0.954242509,0,0,FALSE,F,NA
743,2,3,13.190461,-59.641315,PAST,2.4,13,1.113943352,0,0,FALSE,F,NA
746,2,3,13.190461,-59.641315,PAST,2.4,13,1.113943352,0,0,FALSE,F,NA
740,2,3,13.190461,-59.641315,PAST,2.4,16,1.204119983,0,0,FALSE,F,NA
747,2,3,13.190461,-59.641315,PAST,2.4,19,1.278753601,0.5,0,FALSE,F,NA
742,2,3,13.190461,-59.641315,PAST,2.4,20,1.301029996,0,0,FALSE,F,NA
748,2,3,13.190461,-59.641315,PAST,2.4,22,1.342422681,0,0,FALSE,F,NA
741,2,3,13.190461,-59.641315,PAST,2.4,28,1.447158031,0,0,FALSE,F,NA
758,2,3,13.190461,-59.641315,PAST,3,33,1.51851394,0,0,FALSE,F,NA
