Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1066,1,1,13.19043,-59.640672,PCLI,1.8,16,1.204119983,0.05,0.05,TRUE,F,NA
1063,1,1,13.19043,-59.640672,PCLI,1.8,27,1.431363764,0,0,FALSE,F,NA
1067,1,1,13.19043,-59.640672,PCLI,1.8,27,1.431363764,0,0,FALSE,F,NA
1062,1,1,13.19043,-59.640672,PCLI,1.8,33,1.51851394,0,0,FALSE,F,NA
1051,1,1,13.19043,-59.640672,PCLI,1.8,44,1.643452676,0,0,FALSE,P,NA
1058,1,1,13.19043,-59.640672,PCLI,1.8,47,1.672097858,0.1,0.1,TRUE,F,NA
1068,1,1,13.19043,-59.640672,PCLI,1.8,184,2.264817823,0,0,FALSE,F,NA
995,1,1,13.19043,-59.640672,PCLI,1.7,210,2.322219295,0,0,FALSE,F,P
1069,1,1,13.19043,-59.640672,PCLI,1.8,336,2.526339277,0,0,FALSE,F,NA
1064,1,1,13.19043,-59.640672,PCLI,1.8,358,2.553883027,0.2,0.2,TRUE,F,NA
1071,1,1,13.19043,-59.640672,PCLI,1.8,530,2.72427587,0.6,0.1,TRUE,F,NA
1002,1,1,13.19043,-59.640672,PCLI,1.7,625,2.795880017,0.6,0,FALSE,F,PB
1005,1,1,13.19043,-59.640672,PCLI,1.7,649,2.812244697,0.05,0,FALSE,F,PB
1057,1,1,13.19043,-59.640672,PCLI,1.8,649,2.812244697,0.2,0.2,TRUE,F,NA
1006,1,1,13.19043,-59.640672,PCLI,1.7,759,2.880241776,0.02,0,FALSE,F,PB
1003,1,1,13.19043,-59.640672,PCLI,1.7,930,2.968482949,0.8,0,FALSE,F,PB
1054,1,1,13.19043,-59.640672,PCLI,1.8,1115,3.047274867,0,0,FALSE,F,NA
998,1,1,13.19043,-59.640672,PCLI,1.7,1294,3.111934276,0.02,0,FALSE,F,NA
1072,1,1,13.19043,-59.640672,PCLI,1.8,1401,3.146438135,0.3,0.2,TRUE,F,NA
1056,1,1,13.19043,-59.640672,PCLI,1.8,1456,3.163161375,0.3,0.15,TRUE,F,NA
1065,1,1,13.19043,-59.640672,PCLI,1.8,2169,3.336259552,0,0,FALSE,F,NA
1082,1,2,13.190379,-59.640849,PCLI,2.1,13,1.113943352,0,0,FALSE,F,NA
1019,1,2,13.190379,-59.640849,PCLI,1.5,20,1.301029996,0,0,FALSE,F,NA
1074,1,2,13.190379,-59.640849,PCLI,2.1,31,1.491361694,0,0,FALSE,F,NA
1020,1,2,13.190379,-59.640849,PCLI,1.5,39,1.591064607,0,0,FALSE,F,NA
1023,1,2,13.190379,-59.640849,PCLI,1.5,42,1.62324929,0,0,FALSE,F,NA
1017,1,2,13.190379,-59.640849,PCLI,1.5,84,1.924279286,0,0,FALSE,F,NA
1075,1,2,13.190379,-59.640849,PCLI,2.1,226,2.354108439,0,0,FALSE,F,NA
1013,1,2,13.190379,-59.640849,PCLI,1.5,400,2.602059991,0,0,FALSE,F,NA
1089,1,2,13.190379,-59.640849,PCLI,2.1,400,2.602059991,0,0,FALSE,P,NA
1009,1,2,13.190379,-59.640849,PCLI,1.5,401,2.603144373,0.6,0,FALSE,F,NA
1083,1,2,13.190379,-59.640849,PCLI,2.1,453,2.656098202,0.4,0,FALSE,PB,NA
1014,1,2,13.190379,-59.640849,PCLI,1.5,472,2.673941999,0.05,0,FALSE,F,NA
1085,1,2,13.190379,-59.640849,PCLI,2.1,1057,3.024074987,0,0,FALSE,F,NA
1080,1,2,13.190379,-59.640849,PCLI,2.1,2921,3.465531557,0,0,FALSE,F,Bright blue
1042,1,3,13.190313,-59.641029,PCLI,2.6,13,1.113943352,0,0,FALSE,F,NA
