Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1070,1,1,13.19043,-59.640672,PSTR,1.8,33,1.51851394,0,0,FALSE,F,NA
994,1,1,13.19043,-59.640672,PSTR,1.7,587,2.768638101,0.8,0,FALSE,F,NA
1011,1,2,13.190379,-59.640849,PSTR,1.5,14,1.146128036,0,0,FALSE,F,NA
1088,1,2,13.190379,-59.640849,PSTR,2.1,56,1.748188027,0,0,FALSE,F,NA
1012,1,2,13.190379,-59.640849,PSTR,1.5,69,1.838849091,0,0,FALSE,F,NA
1086,1,2,13.190379,-59.640849,PSTR,2.1,118,2.071882007,0,0,FALSE,F,NA
1078,1,2,13.190379,-59.640849,PSTR,2.1,127,2.103803721,0,0,FALSE,F,NA
1084,1,2,13.190379,-59.640849,PSTR,2.1,621,2.7930916,1,0.1,TRUE,F,NA
1081,1,2,13.190379,-59.640849,PSTR,2.1,974,2.988558957,0.3,0.3,TRUE,F,NA
1102,1,3,13.190313,-59.641029,PSTR,3,118,2.071882007,0.3,0.2,FALSE,T,NA
1110,1,3,13.190313,-59.641029,PSTR,3,179,2.252853031,0.1,0.1,TRUE,F,NA
1106,1,3,13.190313,-59.641029,PSTR,3,342,2.534026106,0.1,0.1,TRUE,F,NA
1027,1,3,13.190313,-59.641029,PSTR,2.6,1061,3.025715384,0.2,0.15,TRUE,F,NA
1101,1,3,13.190313,-59.641029,PSTR,2.7,1224,3.087781418,0,0,FALSE,F,NA
1035,1,3,13.190313,-59.641029,PSTR,2.6,1870,3.271841607,0.7,0,FALSE,F,NA
1034,1,3,13.190313,-59.641029,PSTR,2.6,4155,3.618571028,0.6,0.1,TRUE,F,NA
2404,1,4,13.19025,-59.641211,PSTR,3.5,3,0.477121255,0,0,FALSE,F,NA
2238,1,4,13.19025,-59.641211,PSTR,3.5,16,1.204119983,0,0,FALSE,F,NA
2248,1,4,13.19025,-59.641211,PSTR,3.5,127,2.103803721,0,0,FALSE,P,NA
2403,1,4,13.19025,-59.641211,PSTR,3.5,199,2.298853076,0,0,FALSE,F,NA
2393,1,4,13.19025,-59.641211,PSTR,3.5,449,2.652246341,0.8,0,FALSE,F,NA
2250,1,4,13.19025,-59.641211,PSTR,3.5,734,2.86569606,0.4,0.3,TRUE,F,NA
2246,1,4,13.19025,-59.641211,PSTR,3.5,783,2.893761762,0.6,0.2,TRUE,F,NA
2399,1,4,13.19025,-59.641211,PSTR,3.5,983,2.992553518,0.8,0,FALSE,F,NA
2398,1,4,13.19025,-59.641211,PSTR,3.5,1089,3.03702788,0,0,FALSE,F,NA
2391,1,4,13.19025,-59.641211,PSTR,3.5,1359,3.133219457,0.5,0.5,TRUE,F,NA
2400,1,4,13.19025,-59.641211,PSTR,3.5,1577,3.197831693,0.15,0,FALSE,F,NA
2402,1,4,13.19025,-59.641211,PSTR,3.5,3696,3.567731963,0.2,0,FALSE,PB,NA
765,2,1,13.190524,-59.640942,PSTR,1.8,33,1.51851394,0,0,FALSE,P,NA
775,2,1,13.190524,-59.640942,PSTR,1.8,44,1.643452676,0,0,FALSE,P,NA
779,2,1,13.190524,-59.640942,PSTR,1.5,153,2.184691431,0,0,FALSE,F,NA
769,2,1,13.190524,-59.640942,PSTR,1.8,224,2.350248018,0,0,FALSE,P,Predation (urchin)
774,2,1,13.190524,-59.640942,PSTR,1.8,250,2.397940009,0,0,FALSE,PB,NA
777,2,1,13.190524,-59.640942,PSTR,1.5,1318,3.11991541,0.8,0.1,TRUE,F,NA
801,2,2,13.19049,-59.641131,PSTR,2.4,69,1.838849091,0,0,FALSE,F,NA
818,2,3,13.190461,-59.641315,PSTR,3.4,9,0.954242509,0,0,FALSE,F,Circle-ish
735,2,3,13.190461,-59.641315,PSTR,2.4,24,1.380211242,0,0,FALSE,F,NA
