Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1055,1,1,13.19043,-59.640672,SSID,1.8,365,2.562292864,0,0,FALSE,F,NA
1061,1,1,13.19043,-59.640672,SSID,1.8,1736,3.239549721,0.3,0,FALSE,PB,Predation (urchins)
1079,1,2,13.190379,-59.640849,SSID,2.1,366,2.563481085,0.4,0,FALSE,PB,NA
1021,1,2,13.190379,-59.640849,SSID,1.5,992,2.996511672,0.75,0,FALSE,F,NA
1097,1,3,13.190313,-59.641029,SSID,2.7,146,2.164352856,0,0,FALSE,F,NA
1045,1,3,13.190313,-59.641029,SSID,2.6,843,2.925827575,0.5,0,FALSE,P,NA
1030,1,3,13.190313,-59.641029,SSID,2.6,1031,3.013258665,0.05,0,FALSE,F,NA
2240,1,4,13.19025,-59.641211,SSID,3.5,211,2.324282455,0,0,FALSE,F,NA
2385,1,4,13.19025,-59.641211,SSID,3.5,514,2.710963119,0,0,FALSE,F,NA
2381,1,4,13.19025,-59.641211,SSID,3.5,586,2.767897616,0,0,FALSE,F,NA
2390,1,4,13.19025,-59.641211,SSID,3.5,1340,3.127104798,0.2,0,FALSE,F,NA
770,2,1,13.190524,-59.640942,SSID,1.5,77,1.886490725,0,0,FALSE,P,NA
672,2,1,13.190524,-59.640942,SSID,1,86,1.934498451,0.1,0,FALSE,F,NA
668,2,1,13.190524,-59.640942,SSID,1.1,1030,3.012837225,0.9,0,FALSE,F,NA
700,2,2,13.19049,-59.641131,SSID,1.5,24,1.380211242,0,0,FALSE,F,NA
799,2,2,13.19049,-59.641131,SSID,2.4,109,2.037426498,0,0,FALSE,F,NA
800,2,2,13.19049,-59.641131,SSID,2.4,435,2.638489257,0,0,FALSE,F,NA
715,2,2,13.19049,-59.641131,SSID,1.5,782,2.893206753,0.2,0.02,TRUE,P,NA
819,2,3,13.190461,-59.641315,SSID,3,632,2.800717078,0,0,FALSE,F,NA
842,2,3,13.190461,-59.641315,SSID,3.4,4446,3.647969458,0,0,FALSE,F,NA
2412,2,4,13.190425,-59.641508,SSID,2.3,109,2.037426498,0,0,FALSE,F,NA
1140,2,5,13.190392,-59.641693,SSID,2.5,24,1.380211242,0,0,FALSE,F,NA
1255,2,6,13.19036,-59.641887,SSID,4.3,33,1.51851394,0,0,FALSE,F,NA
1318,2,6,13.19036,-59.641887,SSID,3.4,38,1.579783597,0,0,FALSE,F,NA
1295,2,6,13.19036,-59.641887,SSID,2.7,56,1.748188027,0.6,0,FALSE,F,NA
1245,2,6,13.19036,-59.641887,SSID,4,92,1.963787827,0.6,0,FALSE,PB,NA
1250,2,6,13.19036,-59.641887,SSID,4.3,108,2.033423755,0,0,FALSE,F,NA
1247,2,6,13.19036,-59.641887,SSID,4.3,1851,3.267406419,0,0,FALSE,F,NA
1205,2,7,13.190327,-59.642082,SSID,4,45,1.653212514,0.9,0,FALSE,PB,NA
577,3,1,13.190645,-59.64124,SSID,1.8,50,1.698970004,0.2,0.2,TRUE,F,NA
2109,3,3,13.190617,-59.641616,SSID,2.2,68,1.832508913,0,0,FALSE,F,NA
2113,3,3,13.190617,-59.641616,SSID,2.5,100,2,0,0,FALSE,F,NA
2106,3,3,13.190617,-59.641616,SSID,2.2,318,2.50242712,0.05,0,FALSE,F,NA
2225,3,3,13.190617,-59.641616,SSID,2.5,544,2.7355989,0.4,0,FALSE,PB,NA
2090,3,4,13.190605,-59.641802,SSID,2.3,66,1.819543936,0,0,FALSE,F,NA
2077,3,4,13.190605,-59.641802,SSID,2.2,100,2,0.02,0,FALSE,F,NA
2193,3,4,13.190605,-59.641802,SSID,2.4,360,2.556302501,0,0,FALSE,F,NA
2069,3,4,13.190605,-59.641802,SSID,2.2,399,2.600972896,0.1,0,FALSE,F,NA
2081,3,4,13.190605,-59.641802,SSID,2,582,2.764922985,0.1,0,FALSE,F,NA
2022,3,5,13.190591,-59.641989,SSID,2.7,49,1.69019608,0,0,FALSE,F,NA
2046,3,5,13.190591,-59.641989,SSID,2.3,50,1.698970004,0,0,FALSE,F,NA
2027,3,5,13.190591,-59.641989,SSID,2.8,108,2.033423755,0.1,0,FALSE,F,NA
2031,3,5,13.190591,-59.641989,SSID,2.8,130,2.113943352,0,0,FALSE,F,NA
2018,3,5,13.190591,-59.641989,SSID,2.9,188,2.274157849,0.3,0,FALSE,F,NA
2041,3,5,13.190591,-59.641989,SSID,2.9,487,2.687528961,0.15,0,FALSE,F,NA
2141,3,5,13.190591,-59.641989,SSID,3.1,592,2.772321707,0.7,0.4,TRUE,F,NA
1501,3,6,13.190579,-59.642184,SSID,3,3,0.477121255,0,0,FALSE,F,NA
1505,3,6,13.190579,-59.642184,SSID,3.2,20,1.301029996,0,0,FALSE,F,NA
1508,3,6,13.190579,-59.642184,SSID,3.2,28,1.447158031,0,0,FALSE,F,NA
1489,3,6,13.190579,-59.642184,SSID,3.7,88,1.944482672,0.05,0,FALSE,F,NA
1487,3,6,13.190579,-59.642184,SSID,3.4,117,2.068185862,0,0,FALSE,F,NA
1482,3,6,13.190579,-59.642184,SSID,3.4,126,2.100370545,0,0,FALSE,F,NA
1443,3,6,13.190579,-59.642184,SSID,4,167,2.222716471,0,0,FALSE,F,NA
1488,3,6,13.190579,-59.642184,SSID,3.7,265,2.423245874,0.7,0.1,TRUE,F,Dark coloration
1469,3,6,13.190579,-59.642184,SSID,3.7,606,2.782472624,0,0,FALSE,F,NA
1472,3,6,13.190579,-59.642184,SSID,4.5,4079,3.610553705,0.6,0,FALSE,F,NA
1551,3,7,13.190565,-59.642374,SSID,3.5,5,0.698970004,0,0,FALSE,F,NA
1408,3,7,13.190565,-59.642374,SSID,3.7,38,1.579783597,0,0,FALSE,PB,NA
1416,3,7,13.190565,-59.642374,SSID,4.3,92,1.963787827,0,0,FALSE,P,NA
