Observation,Transect,Quadrat,N.DMS,W.DMS,Species.CODE,Depth.m,Surface.Area.cm2,Surface.Area.Log,Partial.Mortality,SCTLD.Mortality,SCTLD.Presence,Bleached.Other.Disease,Comments
1000,1,1,13.19043,-59.640672,CNAT,1.7,3,0.477121255,0,0,FALSE,F,NA
1004,1,1,13.19043,-59.640672,CNAT,1.7,3,0.477121255,0,0,FALSE,F,NA
997,1,1,13.19043,-59.640672,CNAT,1.7,16,1.204119983,0,0,FALSE,F,NA
1001,1,1,13.19043,-59.640672,CNAT,1.7,17,1.230448921,0,0,FALSE,F,NA
999,1,1,13.19043,-59.640672,CNAT,1.7,45,1.653212514,0,0,FALSE,F,PB
1053,1,1,13.19043,-59.640672,CNAT,1.8,1000,3,0.2,0.05,TRUE,F,On the mends
1073,1,1,13.19043,-59.640672,CNAT,1.8,1034,3.014520539,0,0,FALSE,F,Predation (urchins)
996,1,1,13.19043,-59.640672,CNAT,1.7,1048,3.020361283,0.05,0,FALSE,F,P
1052,1,1,13.19043,-59.640672,CNAT,1.8,1228,3.089198367,0,0,FALSE,P,Two FB nearby
1007,1,1,13.19043,-59.640672,MMEA,1.7,70,1.84509804,0,0,FALSE,F,NA
1059,1,1,13.19043,-59.640672,MMEA,1.8,218,2.338456494,0.05,0.05,TRUE,F,NA
1066,1,1,13.19043,-59.640672,PCLI,1.8,16,1.204119983,0.05,0.05,TRUE,F,NA
1063,1,1,13.19043,-59.640672,PCLI,1.8,27,1.431363764,0,0,FALSE,F,NA
1067,1,1,13.19043,-59.640672,PCLI,1.8,27,1.431363764,0,0,FALSE,F,NA
1062,1,1,13.19043,-59.640672,PCLI,1.8,33,1.51851394,0,0,FALSE,F,NA
1051,1,1,13.19043,-59.640672,PCLI,1.8,44,1.643452676,0,0,FALSE,P,NA
1058,1,1,13.19043,-59.640672,PCLI,1.8,47,1.672097858,0.1,0.1,TRUE,F,NA
1068,1,1,13.19043,-59.640672,PCLI,1.8,184,2.264817823,0,0,FALSE,F,NA
995,1,1,13.19043,-59.640672,PCLI,1.7,210,2.322219295,0,0,FALSE,F,P
1069,1,1,13.19043,-59.640672,PCLI,1.8,336,2.526339277,0,0,FALSE,F,NA
1064,1,1,13.19043,-59.640672,PCLI,1.8,358,2.553883027,0.2,0.2,TRUE,F,NA
1071,1,1,13.19043,-59.640672,PCLI,1.8,530,2.72427587,0.6,0.1,TRUE,F,NA
1002,1,1,13.19043,-59.640672,PCLI,1.7,625,2.795880017,0.6,0,FALSE,F,PB
1005,1,1,13.19043,-59.640672,PCLI,1.7,649,2.812244697,0.05,0,FALSE,F,PB
1057,1,1,13.19043,-59.640672,PCLI,1.8,649,2.812244697,0.2,0.2,TRUE,F,NA
1006,1,1,13.19043,-59.640672,PCLI,1.7,759,2.880241776,0.02,0,FALSE,F,PB
1003,1,1,13.19043,-59.640672,PCLI,1.7,930,2.968482949,0.8,0,FALSE,F,PB
1054,1,1,13.19043,-59.640672,PCLI,1.8,1115,3.047274867,0,0,FALSE,F,NA
